plateRS;parkingIdRS;uniqueIDRS;makeAutomaticPaymentRS
BAB393;100;PDP10307240575;true
ALL828;100;PDP10307240576;true
TTT888;100;PDP10307240577;true
ADD302;100;PDP10307240578;true
BBC904;100;PDP10307240579;true
ACB873;100;PDP10307240580;true
CAC794;100;PDP10307240581;true
ACA216;100;PDP10307240582;true
BAA529;100;PDP10307240583;true
BCE194;100;PDP10307240584;true
ACD475;100;PDP10307240585;true
ACC094;100;PDP10307240586;true
IJK001;100;PDP10307240587;true
CGC519;100;PDP10307240588;true
ROB714;100;PDP10307240589;true
AJT124;100;PDP10307240590;true
COA721;100;PDP10307240591;true
JJV112;100;PDP10307240592;true
LED195;100;PDP10307240593;true
MIT123;100;PDP10307240594;true
NAJ352;100;PDP10307240595;true
QWE000;100;PDP10307240596;true
RTQ843;100;PDP10307240597;true
DUL009;100;PDP10307240598;true
RAQ035;100;PDP10307240599;true
AAD152;100;PDP10307240600;true
ABA061;100;PDP10307240601;true
BAE665;100;PDP10307240602;true
BCE111;100;PDP10307240603;true
ABA025;100;PDP10307240604;true
BDA708;100;PDP10307240605;true
CAD533;100;PDP10307240606;true
BCE738;100;PDP10307240607;true
CAB093;100;PDP10307240608;true
TTY789;100;PDP10307240609;true
NNN888;100;PDP10307240610;true
PLN932;100;PDP10307240611;true
LLO000;100;PDP10307240612;true
QQQ911;100;PDP10307240613;true
QQQ511;100;PDP10307240614;true
QQQ211;100;PDP10307240615;true
QQQ199;100;PDP10307240616;true
HHH311;100;PDP10307240617;true
ABC623;100;PDP10307240618;true
ACE898;100;PDP10307240619;true
BBE971;100;PDP10307240620;true
ACD501;100;PDP10307240621;true
CAC562;100;PDP10307240622;true
AAE630;100;PDP10307240623;true
ACB644;100;PDP10307240624;true
ACB646;100;PDP10307240625;true
CAD188;100;PDP10307240626;true
CAC398;100;PDP10307240627;true
CAE416;100;PDP10307240628;true
ABA748;100;PDP10307240629;true
BBD091;100;PDP10307240630;true
CAD511;100;PDP10307240631;true
ADD346;100;PDP10307240632;true
BDA800;100;PDP10307240633;true
AAE719;100;PDP10307240634;true
BCC463;100;PDP10307240635;true
BAB831;100;PDP10307240636;true
BDA495;100;PDP10307240637;true
BBD705;100;PDP10307240638;true
BAC070;100;PDP10307240639;true
BAB852;100;PDP10307240640;true
BBD888;100;PDP10307240641;true
AAD469;100;PDP10307240642;true
ABB388;100;PDP10307240643;true
BEC431;100;PDP10307240644;true
BEA280;100;PDP10307240645;true
BEA628;100;PDP10307240646;true
BEC488;100;PDP10307240647;true
CAE400;100;PDP10307240648;true
ADE804;100;PDP10307240649;true
CAB513;100;PDP10307240650;true
BAB438;100;PDP10307240651;true
ACC285;100;PDP10307240652;true
BEB560;100;PDP10307240653;true
BAB413;100;PDP10307240654;true
ABA937;100;PDP10307240655;true
ABA938;100;PDP10307240656;true
ADE635;100;PDP10307240657;true
CAB131;100;PDP10307240658;true
CAE362;100;PDP10307240659;true
BBB517;100;PDP10307240660;true
BEA968;100;PDP10307240661;true
BEA694;100;PDP10307240662;true
BBD752;100;PDP10307240663;true
BBC686;100;PDP10307240664;true
BEB534;100;PDP10307240665;true
ACC243;100;PDP10307240666;true
BBC730;100;PDP10307240667;true
BCE909;100;PDP10307240668;true
CAD174;100;PDP10307240669;true
AAC627;100;PDP10307240670;true
XXX828;100;PDP10307240671;true
BEE855;100;PDP10307240672;true
BEC405;100;PDP10307240673;true
AAD590;100;PDP10307240674;true
AAC547;100;PDP10307240675;true
BBD523;100;PDP10307240676;true
BBA807;100;PDP10307240677;true
BBC733;100;PDP10307240678;true
ADE098;100;PDP10307240679;true
CAE459;100;PDP10307240680;true
AEC786;100;PDP10307240681;true
ABE122;100;PDP10307240682;true
AEC671;100;PDP10307240683;true
BBC894;100;PDP10307240684;true
BBD228;100;PDP10307240685;true
ADA976;100;PDP10307240686;true
BAD462;100;PDP10307240687;true
CAA377;100;PDP10307240688;true
ADB245;100;PDP10307240689;true
BAD067;100;PDP10307240690;true
BCE185;100;PDP10307240691;true
ABC922;100;PDP10307240692;true
BEB081;100;PDP10307240693;true
ABC923;100;PDP10307240694;true
BAD684;100;PDP10307240695;true
ACB536;100;PDP10307240696;true
CAA195;100;PDP10307240697;true
AAA861;100;PDP10307240698;true
BCB689;100;PDP10307240699;true
ABE160;100;PDP10307240700;true
BBD305;100;PDP10307240701;true
BEB913;100;PDP10307240702;true
AEB598;100;PDP10307240703;true
BAE451;100;PDP10307240704;true
BED533;100;PDP10307240705;true
ACD574;100;PDP10307240706;true
CAD252;100;PDP10307240707;true
ABE860;100;PDP10307240708;true
BCA036;100;PDP10307240709;true
ADD912;100;PDP10307240710;true
BDC683;100;PDP10307240711;true
BBE323;100;PDP10307240712;true
BEC647;100;PDP10307240713;true
IJK001;100;PDP10307240714;true
CGC519;100;PDP10307240715;true
ROB714;100;PDP10307240716;true
AJT124;100;PDP10307240717;true
COA721;100;PDP10307240718;true
JJV112;100;PDP10307240719;true
LED195;100;PDP10307240720;true
MIT123;100;PDP10307240721;true
NAJ352;100;PDP10307240722;true
QWE000;100;PDP10307240723;true
RTQ843;100;PDP10307240724;true
DUL009;100;PDP10307240725;true
RAQ035;100;PDP10307240726;true
TUU675;100;PDP10307240727;true
BBB963;100;PDP10307240728;true
ACD544;100;PDP10307240729;true
ACD564;100;PDP10307240730;true
BEB550;100;PDP10307240731;true
BEC986;100;PDP10307240732;true
BEB366;100;PDP10307240733;true
ACC736;100;PDP10307240734;true
BEB654;100;PDP10307240735;true
CAD642;100;PDP10307240736;true
BDB239;100;PDP10307240737;true
ADE582;100;PDP10307240738;true
CAA262;100;PDP10307240739;true
ABB588;100;PDP10307240740;true
BAB392;100;PDP10307240741;true
ACC756;100;PDP10307240742;true
BAB245;100;PDP10307240743;true
ACC624;100;PDP10307240744;true
BBE014;100;PDP10307240745;true
BCC650;100;PDP10307240746;true
ABC087;100;PDP10307240747;true
AEA914;100;PDP10307240748;true
ACE019;100;PDP10307240749;true
BED100;100;PDP10307240750;true
BBE487;100;PDP10307240751;true
BDB325;100;PDP10307240752;true
BAC594;100;PDP10307240753;true
